x;y;CONVG2
492578;3125903;168,237793
492608;3125903;147,730896
492638;3125903;108,6052017
492668;3125903;77,63739777
492698;3125903;64,84680176
492728;3125903;67,84140015
492758;3125903;89,17500305
492788;3125903;119,0082016
492818;3125903;133,1692963
492848;3125903;138,196701
492878;3125903;130,7884979
492908;3125903;118,582901
492938;3125903;109,9488983
492968;3125903;109,0447998
492998;3125903;107,8630981
493028;3125903;104,1322021
493058;3125903;97,11990356
493088;3125903;94,79579926
493118;3125903;99,87799835
493148;3125903;106,5
493178;3125903;110,2429962
493208;3125903;110,4235992
493238;3125903;109,3024979
493268;3125903;108,1636963
493298;3125903;105,7997971
493328;3125903;104,5736008
493358;3125903;106,3740005
493388;3125903;108,2020035
493418;3125903;106,5334015
493448;3125903;94,01909637
493478;3125903;69,71309662
493508;3125903;53,56430054
493538;3125903;57,39080048
493568;3125903;86,77880096
493598;3125903;124,3067017
493628;3125903;148,8161011
493658;3125903;155,6585999
493688;3125903;144,2386932
493718;3125903;133,3612976
493748;3125903;124,7478027
493778;3125903;118,3825989
493808;3125903;117,990097
493838;3125903;126,7382965
493868;3125903;141,4174957
493898;3125903;150,4739075
493928;3125903;138,9073944
493958;3125903;109,3636017
490058;3125873;58,42559814
490088;3125873;91,56400299
490118;3125873;119,4703979
490148;3125873;134,3009033
490178;3125873;143,4505005
490208;3125873;143,0780029
490238;3125873;112,9737015
490268;3125873;72,86209869
490298;3125873;50,67240143
490328;3125873;63,39289856
490358;3125873;92,74859619
490388;3125873;114,5098038
490418;3125873;118,4377975
490448;3125873;108,4710999
490478;3125873;98,31269836
490508;3125873;86,66960144
490538;3125873;69,31310272
490568;3125873;62,17229843
490598;3125873;76,99659729
490628;3125873;102,4990005
490658;3125873;126,2630005
490688;3125873;134,9701996
490718;3125873;122,7177963
490748;3125873;100,9961014
490778;3125873;71,52490234
490808;3125873;50,43510056
490838;3125873;60,7879982
490868;3125873;91,08110046
490898;3125873;113,0981979
490928;3125873;118,5475006
490958;3125873;110,5549011
490988;3125873;107,0924988
491018;3125873;115,9608002
491048;3125873;127,581398
491078;3125873;128,6331024
491108;3125873;116,9577026
491138;3125873;94,1934967
491168;3125873;72,05210114
491198;3125873;59,9510994
491228;3125873;61,99570084
491258;3125873;84,45939636
491288;3125873;107,146698
491318;3125873;106,4753036
491348;3125873;97,30639648
491378;3125873;86,45980072
491408;3125873;83,92189789
491438;3125873;88,32180023
491468;3125873;93,10420227
491498;3125873;100,8203964
491528;3125873;110,3570023
491558;3125873;123,7281036
491588;3125873;135,3311005
491618;3125873;148,1842957
491648;3125873;162,7868958
491678;3125873;175,709198
491708;3125873;185,852005
491738;3125873;172,6875
491768;3125873;151,355896
491798;3125873;138,0592041
491828;3125873;139,1743927
491858;3125873;139,528595
491888;3125873;128,3719025
491918;3125873;103,8070984
491948;3125873;79,10579681
491978;3125873;69,78330231
492008;3125873;76,89209747
492038;3125873;88,11540222
492068;3125873;93,1486969
492098;3125873;100,4735031
492128;3125873;115,7735977
492158;3125873;133,1416931
492188;3125873;157,2454987
492218;3125873;177,8262939
492248;3125873;166,9976959
492278;3125873;138,7960052
492308;3125873;112,4328003
492338;3125873;96,90799713
492368;3125873;88,73410034
492398;3125873;90,64019775
492428;3125873;104,135498
492458;3125873;125,7854996
492488;3125873;148,1596985
492518;3125873;164,8764954
492548;3125873;168,6278992
492578;3125873;160,9311981
492608;3125873;140,5592957
492638;3125873;109,6363983
492668;3125873;74,37290192
492698;3125873;53,9897995
492728;3125873;60,13560104
492758;3125873;89,72530365
492788;3125873;112,3787003
492818;3125873;120,0009995
492848;3125873;121,2675018
492878;3125873;115,6360016
492908;3125873;106,5783005
492938;3125873;99,74269867
492968;3125873;97,53739929
492998;3125873;96,51629639
493028;3125873;90,92259979
493058;3125873;82,31169891
493088;3125873;77,90720367
493118;3125873;80,80519867
493148;3125873;85,42120361
493178;3125873;87,89620209
493208;3125873;87,62889862
493238;3125873;86,04260254
493268;3125873;82,83750153
493298;3125873;77,70010376
493328;3125873;75,3565979
493358;3125873;77,35189819
493388;3125873;81,31490326
493418;3125873;81,74369812
493448;3125873;80,49279785
493478;3125873;63,27590179
493508;3125873;49,05789948
493538;3125873;52,79109955
493568;3125873;75,04850006
493598;3125873;107,9533997
493628;3125873;132,3569031
493658;3125873;135,9656067
493688;3125873;127,5457001
493718;3125873;122,9154968
493748;3125873;125,1302032
493778;3125873;126,868103
493808;3125873;123,9281006
493838;3125873;126,2259979
493868;3125873;131,7391052
493898;3125873;135,7608032
493928;3125873;126,0029984
493958;3125873;99,43869781
490058;3125843;59,88410187
490088;3125843;92,14399719
490118;3125843;119,6959991
490148;3125843;135,9270935
490178;3125843;148,0514984
490208;3125843;150,3043976
490238;3125843;119,4897995
490268;3125843;73,18139648
490298;3125843;45,5237999
490328;3125843;59,5564003
490358;3125843;88,77539825
490388;3125843;111,8981018
490418;3125843;120,4011993
490448;3125843;120,8079987
490478;3125843;116,7910004
490508;3125843;103,2128983
490538;3125843;81,7256012
490568;3125843;72,1733017
490598;3125843;79,18659973
490628;3125843;102,6498032
490658;3125843;121,419899
490688;3125843;121,2238998
490718;3125843;109,2101974
490748;3125843;91,95490265
490778;3125843;72,70069885
490808;3125843;64,2173996
490838;3125843;76,22570038
490868;3125843;97,46050262
490898;3125843;108,6809998
490928;3125843;106,0477982
490958;3125843;99,09980011
490988;3125843;100,9558029
491018;3125843;111,7621994
491048;3125843;116,7173004
491078;3125843;113,7235031
491108;3125843;100,4438019
491138;3125843;79,24099731
491168;3125843;58,13150024
491198;3125843;47,16199875
491228;3125843;49,90859985
491258;3125843;68,06539917
491288;3125843;80,31040192
491318;3125843;74,55370331
491348;3125843;63,25009918
491378;3125843;62,82099915
491408;3125843;68,14129639
491438;3125843;75,69589996
491468;3125843;84,66880035
491498;3125843;100,3834
491528;3125843;115,4690018
491558;3125843;129,5424042
491588;3125843;141,452301
491618;3125843;147,6118927
491648;3125843;154,8618011
491678;3125843;165,0744019
491708;3125843;172,8404999
491738;3125843;163,8486023
491768;3125843;147,4273987
491798;3125843;138,6858978
491828;3125843;142,9349976
491858;3125843;144,1898956
491888;3125843;131,4909058
491918;3125843;105,7779007
491948;3125843;78,96399689
491978;3125843;67,41539764
492008;3125843;71,44819641
492038;3125843;78,10449982
492068;3125843;83,66239929
492098;3125843;90,0719986
492128;3125843;102,6211014
492158;3125843;118,8606033
492188;3125843;144,4528961
492218;3125843;162,6539001
492248;3125843;158,093399
492278;3125843;136,5214996
492308;3125843;118,435997
492338;3125843;109,4747009
492368;3125843;107,5428009
492398;3125843;114,2557983
492428;3125843;127,7856979
492458;3125843;151,9593964
492488;3125843;171,8314056
492518;3125843;170,2631989
492548;3125843;162,4898987
492578;3125843;147,6390076
492608;3125843;128,7436066
492638;3125843;105,1551971
492668;3125843;79,32700348
492698;3125843;71,0911026
492728;3125843;93,71089935
492758;3125843;115,4853973
492788;3125843;121,9873962
492818;3125843;117,4108963
492848;3125843;106,433197
492878;3125843;97,06199646
492908;3125843;86,90370178
492938;3125843;81,64050293
492968;3125843;83,3302002
492998;3125843;87,91639709
493028;3125843;87,76190186
493058;3125843;81,78079987
493088;3125843;76,82409668
493118;3125843;75,98870087
493148;3125843;77,11309814
493178;3125843;76,21980286
493208;3125843;74,21430206
493238;3125843;70,19059753
493268;3125843;63,66400146
493298;3125843;59,34429932
493328;3125843;61,61100006
493358;3125843;70,52760315
493388;3125843;78,99700165
493418;3125843;87,9733963
493448;3125843;89,61710358
493478;3125843;72,22460175
493508;3125843;53,82020187
493538;3125843;52,78620148
493568;3125843;73,43740082
493598;3125843;105,0199966
493628;3125843;125,9910965
493658;3125843;123,1256027
493688;3125843;113,9055023
493718;3125843;106,2666016
493748;3125843;108,8871994
493778;3125843;113,982399
493808;3125843;114,9469986
493838;3125843;117,6169968
493868;3125843;123,2717972
493898;3125843;132,0984955
493928;3125843;123,9998016
493958;3125843;104,1363983
490058;3125813;60,32960129
490088;3125813;94,59349823
490118;3125813;121,115303
490148;3125813;135,8211975
490178;3125813;148,3679047
490208;3125813;150,5196991
490238;3125813;127,2148972
490268;3125813;79,35440063
490298;3125813;53,75009918
490328;3125813;61,74359894
490358;3125813;92,83280182
490388;3125813;121,6098022
490418;3125813;140,9544067
490448;3125813;154,2519989
490478;3125813;149,787796
490508;3125813;133,8675995
490538;3125813;107,3767014
490568;3125813;88,08180237
490598;3125813;88,83470154
490628;3125813;98,73169708
490658;3125813;105,9904022
490688;3125813;98,35910034
490718;3125813;88,30149841
490748;3125813;80,60849762
490778;3125813;77,31240082
490808;3125813;83,83429718
490838;3125813;95,64109802
490868;3125813;102,6962967
490898;3125813;99,21130371
490928;3125813;90,32839966
490958;3125813;86,76029968
490988;3125813;95,67030334
491018;3125813;104,2414017
491048;3125813;103,5632019
491078;3125813;97,38300323
491108;3125813;83,82810211
