OBJECTID;SAMPLING;EAST;NORTH;C;Ca_exch;Mg_exch;K_exch;Na_exch
233;catK;491222,743;3122655,846;0,669;6,697;2,484;2,000;0,383
234;catK;491214,418;3122657,720;1,247;13,633;3,732;0,604;0,635
235;catK;491183,509;3122655,200;1,298;11,287;3,250;0,793;0,661
236;catK;491116,196;3122671,923;1,791;30,090;5,214;0,870;0,600
237;catK;491065,071;3122669,121;1,570;24,401;3,515;0,726;0,670
238;catK;490989,747;3122660,061;1,910;18,912;3,768;0,844;0,548
239;catF;492837,210;3124634,601;1,437;26,098;4,998;0,762;0,766
240;catF;492882,577;3124608,672;1,744;26,447;5,972;1,233;0,574
241;catF;492905,721;3124573,653;1,366;17,595;4,235;2,624;0,444
242;catF;492941,527;3124547,920;1,267;14,711;2,752;2,113;0,383
243;catF;493022,904;3124512,577;0,598;20,469;5,467;3,223;0,357
244;catF;492768,359;3124694,697;1,372;19,571;4,153;1,412;0,539
245;catF;492662,575;3124733,708;0,824;18,234;7,762;3,693;0,409
246;catF;492929,487;3124520,000;1,446;15,699;4,063;2,486;0,383
247;catF;493002,921;3124485,982;1,167;25,898;3,762;0,660;0,505
248;catS;493452,684;3121718,541;1,057;23,952;8,854;2,614;0,522
249;catS;493424,049;3121771,766;1,513;25,499;6,661;0,808;0,835
250;catS;493530,089;3121703,397;1,234;44,661;10,691;1,545;0,896
251;catQ;492817,700;3121507,753;1,299;31,088;5,941;2,455;1,305
252;catQ;492840,542;3121522,541;1,331;26,846;4,857;2,598;1,140
253;catQ;492805,948;3121524,891;1,762;32,485;6,268;1,652;1,522
254;catQ;492832,297;3121538,982;1,518;37,874;7,186;2,706;1,087
255;catQ;492752,207;3121614,113;0,925;19,291;6,030;0,962;0,774
256;catQ;492657,042;3121670,977;1,216;21,607;11,635;1,524;0,618
257;catQ;492685,867;3121798,183;0,736;16,956;7,079;4,215;0,522
258;catQ;492677,094;3121818,162;0,753;16,727;6,498;3,141;0,583
259;catQ;492753,470;3121746,494;1,052;14,960;4,564;1,120;0,679
260;catQ;492738,257;3121778,798;1,246;12,455;3,770;1,964;0,722
261;catQ;492724,852;3121812,764;1,335;12,635;3,564;1,535;0,766
262;catQ;492860,874;3121532,772;1,310;30,788;7,054;3,601;1,018
263;catQ;492910,824;3121549,896;1,573;31,038;5,863;2,885;1,235
264;catQ;492822,447;3121739,827;1,600;9,900;2,857;1,673;0,679
265;catQ;492803,487;3121761,755;1,760;16,148;4,732;1,320;0,618
266;catQ;492796,595;3121770,243;1,666;14,042;3,964;1,136;0,652
267;catQ;492794,628;3121792,897;1,143;15,240;4,479;1,187;0,783
268;catQ;492777,175;3121811,703;1,523;22,405;6,033;1,381;0,905
269;catQ;492760,133;3121834,928;1,431;32,884;8,598;1,954;1,027
270;catQ;492751,776;3121850,407;1,449;30,639;6,513;0,849;0,922
271;catQ;492738,482;3121866,869;1,326;13,633;4,137;1,136;0,679
